duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,Target
223253,5,1,4,0.0811,0.799,0.608,0.0137,0.102,-8.193,0.0411,0.963,121.915,1
439490,11,0,4,0.00113,0.233,0.909,0.791,0.155,-6.203,0.0626,0.0757,124.388,0
275987,1,1,4,0.00864,0.583,0.829,0,0.0426,-4.603,0.134,0.575,174.028,1
266973,2,1,4,0.128,0.577,0.462,0,0.0822,-7.989,0.0279,0.258,128.303,1
250713,0,1,4,0.187,0.678,0.662,0.261,0.125,-6.719,0.0278,0.383,139.048,1
260571,9,0,4,0.108,0.584,0.826,0,0.0672,-5.393,0.0689,0.458,139.857,0
314753,0,1,4,0.537,0.338,0.456,0.331,0.0925,-10.008,0.027,0.347,171.819,1
151429,10,0,4,0.1,0.807,0.639,0.00461,0.122,-10.974,0.263,0.606,105.022,0
193707,5,1,4,0.349,0.718,0.69,0.0115,0.122,-8.912,0.0412,0.915,97.987,0
287907,11,0,4,0.00488,0.514,0.898,0.0345,0.0746,-6.765,0.0577,0.353,123.067,1
247707,10,0,4,0.0222,0.576,0.984,0.0000613,0.38,-1.374,0.112,0.522,116.522,0
282118,2,1,4,0.646,0.689,0.46,0,0.284,-13.746,0.16,0.536,86.968,0
243907,0,0,4,0.135,0.518,0.764,0.717,0.103,-7.974,0.0466,0.409,86.919,0
143333,4,1,4,0.839,0.534,0.462,0,0.129,-8.172,0.0266,0.534,96.195,1
396829,7,0,4,0.0000396,0.342,0.926,0.683,0.186,-6.313,0.0939,0.0972,147.313,0
135920,7,1,4,0.118,0.724,0.573,0,0.538,-4.113,0.0549,0.438,113.088,1
283667,5,0,1,0.0108,0.431,0.917,0.0377,0.277,-3.646,0.0821,0.468,179.953,0
112385,1,0,4,0.899,0.715,0.24,0.954,0.102,-16.664,0.0317,0.33,93.978,0
182067,2,1,4,0.55,0.513,0.831,0,0.336,-9.004,0.0383,0.963,148.837,1
175723,1,0,3,0.382,0.585,0.758,0,0.186,-6.087,0.0531,0.561,136.477,0
222050,6,1,4,0.0000742,0.38,0.997,0.715,0.371,-5.449,0.118,0.0359,160.053,0
334000,2,1,4,0.171,0.24,0.615,0.0125,0.0801,-14.117,0.0677,0.768,166.657,1
278400,8,0,4,0.000301,0.307,0.778,0.787,0.199,-6.059,0.118,0.037,110.421,0
311907,2,1,4,0.173,0.511,0.772,0.00000157,0.109,-7.317,0.0358,0.325,139.985,0
301920,1,1,4,0.0000255,0.502,0.912,0.000173,0.106,-4.556,0.0564,0.72,116.761,1
227267,2,0,4,0.213,0.646,0.823,0,0.322,-4.123,0.0394,0.418,128.035,1
320333,2,1,4,0.0000636,0.174,0.993,0.909,0.612,-7.114,0.127,0.0352,127.945,0
221133,5,1,4,0.528,0.706,0.322,0.00000237,0.576,-14.108,0.0467,0.305,135.154,1
297714,2,1,4,0.0000431,0.499,0.993,0.332,0.41,-2.773,0.0745,0.237,110.835,0
322227,4,1,4,0.0223,0.429,0.971,0.00106,0.365,-3.568,0.0738,0.559,93.724,1
243040,9,0,4,0.000845,0.577,0.849,0.00106,0.319,-3.76,0.0301,0.661,128.977,0
177000,0,1,4,0.00478,0.958,0.227,0.76,0.0874,-10.662,0.224,0.239,124.987,0
240843,8,1,1,0.782,0.706,0.485,0,0.105,-11.205,0.0551,0.316,110.025,0
232048,6,1,4,0.415,0.88,0.575,0,0.109,-6.091,0.163,0.671,120.031,0
251253,9,1,4,0.307,0.556,0.517,0.00115,0.077,-8.769,0.0287,0.779,169.938,1
310133,6,0,4,0.665,0.741,0.592,0.854,0.116,-9.059,0.0308,0.822,111.984,1
242519,0,0,4,0.0843,0.587,0.566,0,0.145,-7.017,0.0528,0.155,113.025,1
345600,11,1,4,0.639,0.651,0.402,0.0000773,0.0765,-9.303,0.028,0.258,119.873,1
203653,0,1,4,0.169,0.54,0.729,0,0.112,-3.709,0.0276,0.779,80.454,1
209040,10,0,4,0.00033,0.32,0.798,0.692,0.176,-7.078,0.124,0.74,84.696,1
196093,5,1,4,0.0932,0.693,0.823,0,0.328,-3.761,0.0726,0.741,87.904,1
316453,7,1,4,0.00000168,0.299,0.991,0.659,0.0745,-3.061,0.0889,0.503,102.998,0
288993,8,1,4,0.784,0.609,0.246,0,0.0825,-8.449,0.0376,0.371,123.773,0
229253,7,1,4,0.00000284,0.443,0.995,0.00468,0.358,-4.758,0.16,0.0522,111.967,0
204867,11,0,4,0.00726,0.365,0.763,0.000457,0.0865,-9.45,0.0591,0.342,148.366,1
242560,1,1,4,0.183,0.751,0.837,0,0.217,-3.892,0.108,0.752,98.016,0
275667,0,1,4,0.193,0.659,0.827,0,0.252,-4.426,0.0295,0.797,122.045,0
243947,2,1,4,0.907,0.129,0.125,0.93,0.13,-19.065,0.0314,0.0388,96.702,1
258773,2,1,4,0.0783,0.524,0.557,0.000637,0.13,-8.916,0.0369,0.304,91.028,1
391760,2,0,4,0.505,0.437,0.279,0.0161,0.133,-14.573,0.0325,0.3,118.019,1
520383,2,1,4,0.563,0.403,0.376,0,0.0808,-8.592,0.0318,0.151,147.717,0
209400,10,1,4,0.281,0.524,0.996,0,0.351,-2.043,0.213,0.379,144.026,0
207991,1,0,4,0.00000312,0.5,0.977,0.866,0.0982,-6.809,0.132,0.12,124.124,0
194607,10,1,4,0.00553,0.767,0.554,0.00000241,0.129,-6.197,0.0553,0.865,129.938,0
183880,6,1,4,0.0156,0.517,0.959,0.00000256,0.336,-2.791,0.0695,0.757,93.934,0
206333,4,0,4,0.00993,0.81,0.858,0.000012,0.0528,-4.658,0.0873,0.646,104.504,1
378380,4,1,3,0.81,0.285,0.335,0.000288,0.151,-15.52,0.0435,0.159,139.685,0
240800,8,1,4,0.00255,0.438,0.805,0.0000569,0.0842,-6.237,0.0624,0.564,113.253,1
251987,4,1,4,0.119,0.731,0.38,0.564,0.459,-13.551,0.0317,0.592,140.065,1
256107,9,1,4,0.3,0.32,0.56,0.00000118,0.185,-6.704,0.0357,0.594,69.671,0
285360,11,0,4,0.0489,0.701,0.745,0.309,0.138,-9.439,0.0362,0.498,97.069,1
249587,1,0,4,0.416,0.408,0.615,0,0.196,-5.889,0.035,0.469,135.609,0
175961,0,0,1,0.223,0.614,0.742,0,0.112,-7.423,0.226,0.623,83.775,0
149919,6,0,3,0.404,0.424,0.114,0.907,0.312,-18.682,0.0746,0.124,118.956,0
179907,2,1,4,0.7,0.623,0.138,0.00000162,0.111,-20.568,0.0321,0.434,104.07,1
174289,6,1,4,0.0719,0.855,0.614,0,0.115,-6.835,0.146,0.66,124.995,0
1293975,1,1,3,0.481,0.715,0.308,0,0.341,-14.604,0.936,0.302,122.372,0
156029,9,0,4,0.722,0.84,0.537,0,0.101,-8.93,0.369,0.405,80.005,0
325500,9,0,4,0.279,0.57,0.432,0.677,0.131,-10.126,0.0335,0.345,91.13,0
237982,2,1,4,0.995,0.448,0.044,0.00000217,0.123,-21.968,0.0365,0.485,98.793,0
126483,0,0,4,0.0756,0.913,0.527,0.00000239,0.0415,-8.371,0.0747,0.901,117.977,0
312227,0,1,4,0.00131,0.439,0.748,0.00298,0.117,-4.51,0.0296,0.739,115.124,1
191107,2,1,4,0.745,0.205,0.434,0,0.303,-9.946,0.0417,0.259,75.947,1
324040,10,1,4,0.238,0.498,0.723,0,0.353,-8.053,0.05,0.882,153.227,1
244747,1,1,4,0.0115,0.325,0.893,0,0.123,-5.683,0.136,0.421,103.653,1
331476,10,1,3,0.937,0.0619,0.172,0.952,0.17,-20.773,0.0404,0.0442,65.409,1
278627,11,0,4,0.0119,0.632,0.727,0.0000764,0.0678,-11.209,0.0438,0.499,124.919,1
210643,11,0,4,0.00088,0.735,0.694,0,0.0582,-5.258,0.0387,0.777,121.46,0
228280,8,1,4,0.163,0.414,0.572,0,0.115,-3.918,0.0311,0.16,145.184,1
204000,10,0,4,0.0357,0.689,0.748,0.941,0.123,-8.739,0.038,0.318,119.986,0
415960,4,0,4,0.568,0.376,0.658,0.647,0.253,-8.88,0.0382,0.423,140.767,0
124333,10,1,4,0.473,0.883,0.842,0.00000129,0.0893,-3.194,0.042,0.961,119.971,0
488615,0,0,4,0.00156,0.278,0.969,0.0185,0.354,-4.013,0.191,0.0587,132.756,0
253438,6,0,4,0.109,0.527,0.876,0.0935,0.112,-6.779,0.0393,0.615,103.403,0
126862,1,1,4,0.0422,0.899,0.67,0,0.164,-3.856,0.402,0.417,140.186,0
236733,6,0,3,0.194,0.565,0.437,0.00000714,0.0656,-7.68,0.0403,0.217,96.132,1
185316,6,1,1,0.854,0.608,0.26,0,0.158,-19.06,0.93,0.548,186.402,0
230453,6,1,4,0.0121,0.596,0.285,0.031,0.165,-19.49,0.0397,0.431,156.034,0
251840,7,1,4,0.0416,0.492,0.81,0.00379,0.117,-5.315,0.0847,0.245,149.954,1
164360,0,1,3,0.518,0.858,0.634,0,0.236,-4.058,0.0286,0.909,110.03,0
241933,8,1,4,0.0897,0.713,0.826,0,0.421,-4.075,0.243,0.664,86.444,1
